sentiment,text,selected_text
positive,?????????????????????yay it works haha,yay it works haha
positive,@jakeashley cant wait till ur may 22 show!!  u better stop by and hang out in newcastle  xx, cant wait till ur may 22 show!! u better stop by and hang out in newcastle xx
neutral,@albo60s you must ask the cubs fans. i can't fathom it myself., @albo60s you must ask the cubs fans. i can't fathom it myself.
positive,star trek rocked!  it was way better than i expected, star trek rocked!
negative,@aprilholle hmm. grows. in this case i am screwed. i can't even keep the &quot;easy care&quot; love fern alive., screwed.
positive,prism is the my new webtop.. mozilla labs rocks my world..., rocks
positive,"out if class!! yow party + four hour lecture don't mix attal!! i had to drink 3 red bulls &amp; i'm still sleepy .,,,,smh! alrite bedtime"," yow party + four hour lecture don't mix attal!! i had to drink 3 red bulls &amp; i'm still sleepy .,,,,smh! alrite bedtime"
positive,i'm christine and i'm a friggin' shopaholic. check out my new coat  had to promise someone i wouldn't spend for 2 weeks after buying this, promise
positive,i'm still celebrating my bday even though it was friday, celebrating
negative,...is worried / hopeful that i cought giardia from the foam tonight, worried
negative,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'him', weak
negative,@jboo46 when he's there. he wasn't there today. sadness!, sadness!
neutral,listening to music  was kostet der fisch ?! xd my mathsteacher has choose the wrong job... that's wrong grammar but a real fact !!, listening to music was kostet der fisch ?! xd my mathsteacher has choose the wrong job... that's wrong grammar but a real fact !!
negative,walmart bails on sponsorship!, bails
positive,"ready to celebrate the weekend! oh wait, i have 15 more minutes", celebrate
neutral,"#millsthemusical  @lauzzaa i hope you've listened to some of these songs, they are so funny :l. i still haven't heard about ticks  x"," #millsthemusical @lauzzaa i hope you've listened to some of these songs, they are so funny :l. i still haven't heard about ticks x"
positive,im really really excited  try this out guys!, excited
positive,happy mother's day :] i lovee you mami, happy
neutral,@markboulton @robertmills looks like i'm on tea duty all day., @markboulton @robertmills looks like i'm on tea duty all day.
neutral,"@ajag lol, well have to make sure website works on ie!  and for this region, even on ie6!  adsense preview tool only on ie for some reason"," @ajag lol, well have to make sure website works on ie! and for this region, even on ie6! adsense preview tool only on ie for some reason"
neutral,@sinnamons gotta play 'off the wall' first tho, @sinnamons gotta play 'off the wall' first tho
negative,@crystalchappell &quot;we'll do lunch&quot;  uhh...indoors though we are having a thunderstorm rolling in,...indoors though we are having a thunderstorm rolling in
positive,@baconvodka alternate name for a &quot;bacon mary&quot;... a &quot;bloody piggy!&quot; ;) (i have to give my boyfriend credit for that idea!), credit
negative,@kelcouch i'm sorry  at least it's friday?, i'm sorry
positive,@raineromano yay for bj and lorraine amd their baby! hahaha, yay
negative,*moment of silence* for the budget i'm bout to b on  i spend wayyy to much $$$.... omg! i'm on a budget?!?!, *moment of silence*
negative,@ferretprincess are you having any problems sending images from twitterberry  mine just doesn't want to work ! xxx, mine just doesn't want to work
positive,yay im out but i have 2 ride home  have 2 take tha yellow limo..super gay, yay
negative,@mattyv and! you wouldnt even be able to go. its too far for you, its too far for you
negative,i didn't make madrigals  i don't think i made womens chamber. i don't even think i remembered to mark it on my audition form. im depressed, im depressed
neutral,my baby gets her shuts today, my baby gets her shuts today
positive,boredddddd follower @meryreino shes amazing!!  *broken*, shes amazing!!
neutral,@nabaishko @baddasstwin @djplayboy @greenarrow09 @kellynico  get lit  i am  http://bit.ly/oasqr, @nabaishko @baddasstwin @djplayboy @greenarrow09 @kellynico get lit i am http://bit.ly/oasqr
positive,"@tommcfly toooooom! do a tour in the philippines, pleeease?  i'm risking my health to get your reply. haha!", haha!
negative,ugh. why is it so hard to upload a picture on twitter?, ugh. why is it so hard
neutral,"sociology is done, english and biology left... i'm going to die"," sociology is done, english and biology left... i'm going to die"
neutral,@willknott, @willknott
negative,@homelesscrisis and maybe you will get the statue and sainthood you are seeking.  win-win for all. can't be a victim like your people., can't be a victim like your people.
positive,leather shoes and bags are so hard to resist.., leather shoes and bags are so hard to resist..
negative,@arcticmonkeysuk  i thought it was earlier, i thought it was earlier
positive,"@marijuanadeals i have the best bestfriend in the whole world .. my mother's day present = ambien, klonopin and a quarter! woohoo!  smh...", best bestfriend
neutral,hairspray in hair + lighter&amp;bong = new haircut, hairspray in hair + lighter&amp;bong = new haircut
negative,@chageaus fiscally responsible is fiscally over rated, over rated
positive,@wickedgirl24 glad you like it, glad
negative,that just sucks!, that just sucks!
neutral,drying my hair, drying my hair
negative,@vasilicious did you get your free chocolate?!? i still haven't gotten my email., i still haven't gotten my email.
negative,@xxannasxx oh i'm sorry for that. how old was your grandpa?, oh i'm sorry
negative,"@bustermcleod oh shit, happy late birthday! (my txt didn't send  )"," oh shit,"
positive,@iimjacko o dear! he's here! omgogmgo.. u didn't see that i was going to fuck u..?, omgogmgo..
positive,"had the best mother's day! breakfast, shopping and lunch, drinks, chocolate galore!", best mother's day!
negative,my tattoo is ticklish, ticklish
positive,@bethharperwalsh @taili22 @thesolutions @hippiekat from g's to gents season 1, @hippiekat from g's to gents season 1
negative,@itsonlytuesday i would if i wasn't working today., i wasn't working today.
positive,@andysowards andy!! it's great this am. about to wall over to the first day of an event apart! so exciiiiiiiting.  how r u mate?, it's great
neutral,its 11:11, its 11:11
negative,such a beautiful day...wish my bike hadn't been run over by a car - hit and run.   #biketo, such a beautiful day...wish my bike hadn't been run over by a car - hit and run.
negative,"my neighbours are far too loud in thier back garden, all i can hear is this loud woman that won't stop laughing"," my neighbours are far too loud in thier back garden, all i can hear is this loud woman that won't stop laughing"
positive,happy mother's day, happy
positive,@shortiee31, @shortiee31
positive,so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love mark and josh!! i'm gonna miss them!!, so much fun
negative,has work tom., has work tom.
negative,... sorry gpgmail, sorry
negative,got an ear infection...man that sh*t hurts!, hurts!
positive,happy mother's day  http://bit.ly/lrsng, happy
positive,"oh my gosh,so close to finishing my song! i can't wait!", i can't wait!
positive,"@sevfletcher exercise is what u make of it. walk, run, bike, blade, skate, surf, just do it  feels gooooooood", gooooooood
neutral,"@feego16 until @twitter brings back our everyone button, you can access the public timeline at http://twitter.com/public_timeline"," @feego16 until @twitter brings back our everyone button, you can access the public timeline at http://twitter.com/public_timeline"
negative,@meinj can't do tonight - could kill a pint though. another day..., kill
neutral,"@danger_skies  but gi is team edward, so i'd watch your back :p"," @danger_skies but gi is team edward, so i'd watch your back :p"
negative,@lewisking don't you procrastinate!   (like i do...), procrastinate!
positive,tribal cafe.  watermelon slush.  natalie singing.  ashley&quot;s birthday.  love all around, love
positive,"@mileycyrus miley!!! i heard you have never been to a prom  i would have invited you to mine if i knew, we could arrange another one? x", i heard you have never been to a prom i would have invited
positive,leaving l.a.  but had so much fun!, had so much fun!
negative,geometry is so damn boring.  waste of time.. 20 more minutes left, boring.
negative,this is how much hair falls off everytime i shower. it's more sad than disgusting  http://yfrog.com/6p190aj, it's more sad than disgusting
positive,@zdaefron and @hudgensness why are u two fighting., why are u two fighting.
negative,@tsarnick ohhhh i don't know ;) an older mature lady?, ohhhh i don't know ;)
negative,golfing ended early, golfing ended early
neutral,@aigulf, @aigulf
negative,"so much for a day off- i've been on my feet, all over the place, all day!"," so much for a day off- i've been on my feet, all over the place, all day!"
negative,@keytar @badtwin but they are expensive., expensive.
negative,"@shakeyz09 so i take it, it wasn't the best weekend?", it wasn't the best weekend?
neutral,@wickedbitch: i'm real, @wickedbitch: i'm real
